transform,n_videos,mean_spread,w2_barycenter,w2_mean,gap_pct,win_rate,p_ttest,p_wilcoxon
Linear normalize,50,1.410026736842105,0.901316,0.9030199999999999,0.06348414374760136,26/50,0.3481847650295753,0.42072286282100535
Softmax tau=0.5,50,68.0850625263158,38.035332000000004,45.53708399999999,15.74277672920513,49/50,4.132304766447281e-18,8.881784197001252e-15
Softmax tau=0.2,50,110.29399978947367,61.148500000000006,75.47730399999999,18.69259444641455,50/50,9.033310878623212e-21,1.7763568394002505e-15
z-score exp tau=1.0,50,11.461905894736843,6.639132000000001,6.970816,3.9910035128835606,46/50,1.1684431726437826e-11,1.0192735544478637e-11
z-score exp tau=0.5,50,47.94330231578946,26.921192,31.405715999999998,13.37065092871318,49/50,9.503507409510337e-17,2.4868995751603507e-14
