video,transform,w2_barycenter,w2_mean,gap_mean_minus_bary,gap_pct_of_mean,annotator_spread
video_01,normalize,0.7678,0.7824,0.014599999999999946,1.8660531697341445,1.0650666666666666
video_01,softmax_T0.5,18.549599999999998,23.843,5.293400000000002,22.201065302185135,33.87226666666666
video_01,softmax_T0.2,26.9914,35.833000000000006,8.841600000000007,24.67446208801944,54.314400000000006
video_01,zscore_exp_T1.0,4.4666,4.908800000000001,0.4422000000000015,9.008311603650615,6.133009523809523
video_01,zscore_exp_T0.5,14.052599999999998,17.453599999999998,3.401,19.485951322363295,24.133066666666664
video_02,normalize,0.49219999999999997,0.485,-0.007199999999999984,-1.4845360824742235,0.7588952380952382
video_02,softmax_T0.5,16.8538,19.577,2.723200000000002,13.91020074577311,36.61127619047619
video_02,softmax_T0.2,27.1612,33.1926,6.031399999999998,18.170917614167006,57.24373333333334
video_02,zscore_exp_T1.0,2.5654000000000003,2.6256000000000004,0.06020000000000003,2.2928092626447296,6.607809523809524
video_02,zscore_exp_T0.5,12.0616,13.585400000000002,1.5238000000000014,11.216452956850745,26.142419047619043
video_03,normalize,0.5484000000000001,0.5414000000000001,-0.007000000000000006,-1.2929442186922802,0.8611238095238096
video_03,softmax_T0.5,22.8328,25.645400000000002,2.8126000000000033,10.967268983911357,35.66990476190476
video_03,softmax_T0.2,36.10119999999999,43.3096,7.208400000000012,16.64388495853116,55.9415619047619
video_03,zscore_exp_T1.0,3.7310000000000003,3.8104,0.07939999999999969,2.083770732731464,6.751447619047619
video_03,zscore_exp_T0.5,15.997,17.3686,1.3716000000000008,7.897009545962258,25.563161904761905
video_04,normalize,0.54,0.5434,0.0033999999999999586,0.6256900993743023,0.8839999999999999
video_04,softmax_T0.5,17.620399999999997,20.686599999999995,3.0661999999999985,14.822155404948127,38.48409523809524
video_04,softmax_T0.2,30.029199999999996,35.6916,5.662400000000005,15.864797319257205,60.93466666666668
video_04,zscore_exp_T1.0,2.9539999999999997,3.1214000000000004,0.16740000000000066,5.362978150829776,6.877009523809525
video_04,zscore_exp_T0.5,12.5426,14.558800000000002,2.0162000000000013,13.848668846333496,27.47748571428571
video_05,normalize,0.48440000000000005,0.479,-0.005400000000000071,-1.127348643006278,0.822095238095238
video_05,softmax_T0.5,26.050600000000003,29.190000000000005,3.139400000000002,10.755053100376845,48.007238095238094
video_05,softmax_T0.2,39.9756,46.3098,6.334200000000003,13.677882435251291,76.66015238095238
video_05,zscore_exp_T1.0,4.377,4.5958000000000006,0.21880000000000077,4.760868619174045,8.741904761904761
video_05,zscore_exp_T0.5,18.6892,20.691399999999998,2.0021999999999984,9.676483949853557,34.733200000000004
video_06,normalize,0.49379999999999996,0.4766,-0.017199999999999938,-3.6088963491397266,0.6696761904761903
video_06,softmax_T0.5,18.9446,22.5056,3.561,15.82272856533485,38.066019047619044
video_06,softmax_T0.2,37.1366,44.9586,7.821999999999996,17.39822859252734,64.01920000000001
video_06,zscore_exp_T1.0,2.1602,2.164,0.0038000000000000256,0.17560073937153536,5.677352380952381
video_06,zscore_exp_T0.5,11.683400000000002,13.340399999999999,1.6569999999999965,12.420916914035535,26.404876190476188
video_07,normalize,0.6321999999999999,0.6277999999999999,-0.0043999999999999595,-0.7008601465434788,1.1768761904761904
video_07,softmax_T0.5,15.0494,16.3774,1.3280000000000012,8.108735208274824,44.816399999999994
video_07,softmax_T0.2,22.8576,25.8718,3.014199999999999,11.650522963226367,69.44137142857144
video_07,zscore_exp_T1.0,3.3536,3.4158,0.06219999999999981,1.8209497043152354,8.888495238095238
video_07,zscore_exp_T0.5,11.066799999999999,11.8806,0.8138000000000005,6.8498223995421155,32.7728
video_08,normalize,0.49720000000000003,0.49060000000000004,-0.006599999999999995,-1.3452914798206266,1.2495619047619049
video_08,softmax_T0.5,21.4828,24.226,2.743199999999998,11.32337158424832,50.43769523809524
video_08,softmax_T0.2,34.8096,39.606399999999994,4.79679999999999,12.111173951684554,75.6204
video_08,zscore_exp_T1.0,3.9936,4.1932,0.19960000000000022,4.760087761137084,10.375714285714286
video_08,zscore_exp_T0.5,15.914200000000003,17.810599999999997,1.8963999999999945,10.647591883485086,37.261676190476194
video_09,normalize,0.6698000000000001,0.6742000000000001,0.0044000000000000705,0.6526253337288742,0.8360190476190478
video_09,softmax_T0.5,26.1764,32.2714,6.094999999999999,18.88669224142739,49.36521904761905
video_09,softmax_T0.2,43.616600000000005,54.1342,10.517599999999995,19.428752987944765,76.4206857142857
video_09,zscore_exp_T1.0,4.185,4.4816,0.29660000000000064,6.618172081399514,8.811980952380951
video_09,zscore_exp_T0.5,17.671599999999998,21.572400000000002,3.900800000000004,18.082364502790618,35.48085714285715
