transform,video_id,spread,w2_barycenter,w2_mean,gap_pct,bary_wins
Linear normalize,video_01,1.5995736842105261,0.9402000000000001,0.9278000000000001,-1.33649493425308,False
Linear normalize,video_02,1.0878473684210526,0.6542,0.661,1.028744326777614,True
Linear normalize,video_03,1.3211684210526315,0.835,0.8390000000000001,0.4767580452920279,True
Linear normalize,video_04,1.247457894736842,0.8724000000000001,0.8618,-1.2299837549315449,False
Linear normalize,video_05,1.057121052631579,0.4784,0.4748,-0.7582139848357187,False
Linear normalize,video_06,0.9647789473684211,0.766,0.774,1.0335917312661507,True
Linear normalize,video_07,1.4612000000000003,1.2946,1.3076,0.9941878250229521,True
Linear normalize,video_08,1.565721052631579,0.5192,0.504,-3.015873015873014,False
Linear normalize,video_09,1.4601105263157894,0.4838,0.48419999999999996,0.08261049153241552,True
Linear normalize,video_10,1.3242263157894736,0.744,0.7489999999999999,0.6675567423230834,True
Linear normalize,video_11,1.2769052631578948,0.7684000000000001,0.7668,-0.20865936358894702,False
Linear normalize,video_12,1.637968421052632,1.2188,1.2322,1.0874857977600922,True
Linear normalize,video_13,1.4320526315789475,1.1008,1.1134,1.131668762349555,True
Linear normalize,video_14,1.5888736842105262,1.3592,1.3399999999999999,-1.4328358208955305,False
Linear normalize,video_15,1.4550105263157895,1.182,1.1796,-0.20345879959307883,False
Linear normalize,video_16,1.4688,0.8396000000000001,0.8423999999999999,0.33238366571697564,True
Linear normalize,video_17,1.2536684210526317,1.1030000000000002,1.098,-0.4553734061930888,False
Linear normalize,video_18,1.2701631578947368,0.9339999999999999,0.9278000000000001,-0.668247467126522,False
Linear normalize,video_19,1.782742105263158,0.9625999999999999,0.9810000000000001,1.8756371049949228,True
Linear normalize,video_20,1.3964052631578947,0.8884000000000001,0.9059999999999999,1.9426048565121237,True
Linear normalize,video_21,1.300421052631579,0.8184000000000001,0.8172,-0.14684287812042215,False
Linear normalize,video_22,1.3561947368421055,0.6144000000000001,0.6372000000000001,3.578154425612059,True
Linear normalize,video_23,0.989778947368421,0.7946,0.7832000000000001,-1.4555669050050886,False
Linear normalize,video_24,0.9679421052631578,0.6898,0.6854,-0.6419608987452523,False
Linear normalize,video_25,1.6996736842105262,0.5972,0.6155999999999999,2.9889538661468444,True
Linear normalize,video_26,2.275778947368421,1.4871999999999999,1.4788000000000001,-0.5680281309169422,False
Linear normalize,video_27,1.8137263157894734,1.3841999999999999,1.4056000000000002,1.5224815025612055,True
Linear normalize,video_28,1.0798315789473683,1.0592000000000001,1.0501999999999998,-0.8569796229289985,False
Linear normalize,video_29,0.9088421052631579,0.6262,0.6245999999999999,-0.2561639449247592,False
Linear normalize,video_30,2.131805263157895,1.361,1.3878,1.9311139933707981,True
Linear normalize,video_31,1.1790842105263157,0.6428,0.6494,1.0163227594702708,True
Linear normalize,video_32,1.327721052631579,0.6278,0.6566000000000001,4.386232104782218,True
